"SPECIES","NAME"
"S1","Accipiter gentilis"
"S2","Accipiter nisus"
"S3","Acrocephalus arundinaceus"
"S4","Acrocephalus dumetorum"
"S5","Acrocephalus melanopogon"
"S6","Acrocephalus paludicola"
"S7","Acrocephalus palustris"
"S8","Acrocephalus schoenobaenus"
"S9","Acrocephalus scirpaceus"
"S10","Actitis hypoleucos"
"S11","Aegithalos caudatus"
"S12","Aegolius funereus"
"S13","Aix galericulata"
"S14","Aix sponsa"
"S15","Alauda arvensis"
"S16","Alcedo atthis"
"S17","Alopochen aegyptiaca"
"S18","Anas acuta"
"S19","Anas clypeata"
"S20","Anas crecca"
"S21","Anas penelope"
"S22","Anas platyrhynchos"
"S23","Anas querquedula"
"S24","Anas strepera"
"S25","Anser anser"
"S26","Anthus campestris"
"S27","Anthus pratensis"
"S28","Anthus spinoletta"
"S29","Anthus trivialis"
"S30","Apus apus"
"S31","Aquila chrysaetos"
"S32","Aquila heliaca"
"S33","Aquila pomarina"
"S34","Ardea cinerea"
"S35","Ardea purpurea"
"S36","Asio flammeus"
"S37","Asio otus"
"S38","Athene noctua"
"S39","Aythya ferina"
"S40","Aythya fuligula"
"S41","Aythya nyroca"
"S42","Botaurus stellaris"
"S43","Branta leucopsis"
"S44","Bubo bubo"
"S45","Bubulcus ibis"
"S46","Bucephala clangula"
"S47","Burhinus oedicnemus"
"S48","Buteo buteo"
"S49","Caprimulgus europaeus"
"S50","Carduelis cannabina"
"S51","Carduelis carduelis"
"S52","Carduelis chloris"
"S53","Carduelis flammea"
"S54","Carduelis spinus"
"S55","Carpodacus erythrinus"
"S56","Certhia brachydactyla"
"S57","Certhia familiaris"
"S58","Charadrius dubius"
"S59","Chlidonias hybrida"
"S60","Chlidonias niger"
"S61","Ciconia ciconia"
"S62","Ciconia nigra"
"S63","Cinclus cinclus"
"S64","Circus aeruginosus"
"S65","Circus cyaneus"
"S66","Circus macrourus"
"S67","Circus pygargus"
"S68","Coccothraustes coccothraustes"
"S69","Columba livia"
"S70","Columba oenas"
"S71","Columba palumbus"
"S72","Coracias garrulus"
"S73","Corvus corax"
"S74","Corvus corone"
"S75","Corvus frugilegus"
"S76","Corvus monedula"
"S77","Coturnix coturnix"
"S78","Crex crex"
"S79","Cuculus canorus"
"S80","Cygnus cygnus"
"S81","Cygnus olor"
"S82","Delichon urbica"
"S83","Dendrocopos leucotos"
"S84","Dendrocopos major"
"S85","Dendrocopos medius"
"S86","Dendrocopos minor"
"S87","Dendrocopos syriacus"
"S88","Dryocopus martius"
"S89","Egretta alba"
"S90","Egretta garzetta"
"S91","Emberiza citrinella"
"S92","Emberiza hortulana"
"S93","Emberiza schoeniclus"
"S94","Erithacus rubecula"
"S95","Falco cherrug"
"S96","Falco peregrinus"
"S97","Falco subbuteo"
"S98","Falco tinnunculus"
"S99","Falco vespertinus"
"S100","Ficedula albicollis"
"S101","Ficedula hypoleuca"
"S102","Ficedula parva"
"S103","Fringilla coelebs"
"S104","Fulica atra"
"S105","Galerida cristata"
"S106","Gallinago gallinago"
"S107","Gallinula chloropus"
"S108","Garrulus glandarius"
"S109","Glaucidium passerinum"
"S110","Grus grus"
"S111","Haliaeetus albicilla"
"S112","Himantopus himantopus"
"S113","Hippolais icterina"
"S114","Hirundo rustica"
"S115","Ixobrychus minutus"
"S116","Jynx torquilla"
"S117","Lanius collurio"
"S118","Lanius excubitor"
"S119","Lanius senator"
"S120","Larus cachinnans"
"S121","Larus canus"
"S122","Larus melanocephalus"
"S123","Larus michahellis"
"S124","Larus ridibundus"
"S125","Limosa limosa"
"S126","Locustella fluviatilis"
"S127","Locustella luscinioides"
"S128","Locustella naevia"
"S129","Loxia curvirostra"
"S130","Lullula arborea"
"S131","Luscinia luscinia"
"S132","Luscinia megarhynchos"
"S133","Luscinia svecica"
"S134","Lyrurus tetrix"
"S135","Mergus merganser"
"S136","Merops apiaster"
"S137","Miliaria calandra"
"S138","Milvus migrans"
"S139","Milvus milvus"
"S140","Motacilla alba"
"S141","Motacilla cinerea"
"S142","Motacilla citreola"
"S143","Motacilla flava"
"S144","Muscicapa striata"
"S145","Myiopsitta monachus"
"S146","Netta rufina"
"S147","Nucifraga caryocatactes"
"S148","Numenius arquata"
"S149","Nycticorax nycticorax"
"S150","Oenanthe oenanthe"
"S151","Oriolus oriolus"
"S152","Otis tarda"
"S153","Otus scops"
"S154","Pandion haliaetus"
"S155","Panurus biarmicus"
"S156","Parus ater"
"S157","Parus caeruleus"
"S158","Parus cristatus"
"S159","Parus major"
"S160","Parus montanus"
"S161","Parus palustris"
"S162","Passer domesticus"
"S163","Passer montanus"
"S164","Perdix perdix"
"S165","Pernis apivorus"
"S166","Phalacrocorax carbo"
"S167","Phasianus colchicus"
"S168","Phoenicurus ochruros"
"S169","Phoenicurus phoenicurus"
"S170","Phylloscopus collybita"
"S171","Phylloscopus sibilatrix"
"S172","Phylloscopus trochiloides"
"S173","Phylloscopus trochilus"
"S174","Pica pica"
"S175","Picoides tridactylus"
"S176","Picus canus"
"S177","Picus viridis"
"S178","Platalea leucorodia"
"S179","Podiceps cristatus"
"S180","Podiceps grisegena"
"S181","Podiceps nigricollis"
"S182","Porzana parva"
"S183","Porzana porzana"
"S184","Porzana pusilla"
"S185","Prunella collaris"
"S186","Prunella modularis"
"S187","Pyrrhula pyrrhula"
"S188","Rallus aquaticus"
"S189","Recurvirostra avosetta"
"S190","Regulus ignicapillus"
"S191","Regulus regulus"
"S192","Remiz pendulinus"
"S193","Riparia riparia"
"S194","Saxicola rubetra"
"S195","Saxicola torquata"
"S196","Scolopax rusticola"
"S197","Serinus serinus"
"S198","Sitta europaea"
"S199","Sterna hirundo"
"S200","Streptopelia decaocto"
"S201","Streptopelia orientalis"
"S202","Streptopelia turtur"
"S203","Strix aluco"
"S204","Strix uralensis"
"S205","Sturnus vulgaris"
"S206","Sylvia atricapilla"
"S207","Sylvia borin"
"S208","Sylvia communis"
"S209","Sylvia curruca"
"S210","Sylvia nisoria"
"S211","Syrmaticus reevesii"
"S212","Tachybaptus ruficollis"
"S213","Tadorna ferruginea"
"S214","Tadorna tadorna"
"S215","Tetrao urogallus"
"S216","Tetrastes bonasia"
"S217","Tringa ochropus"
"S218","Tringa totanus"
"S219","Troglodytes troglodytes"
"S220","Turdus iliacus"
"S221","Turdus merula"
"S222","Turdus philomelos"
"S223","Turdus pilaris"
"S224","Turdus torquatus"
"S225","Turdus viscivorus"
"S226","Tyto alba"
"S227","Upupa epops"
"S228","Vanellus vanellus"
